order_id,order_date,customer_id,region,product,channel,quantity,discount_pct,unit_price,revenue
1,2024-04-12,7990,Brno,Headphones,Partner,3,0.15,2500,6375.0
2,2025-03-11,8490,Plzeň,Monitor,Online,3,0.0,7000,21000.0
3,2024-09-27,31362,Olomouc,Laptop,Online,2,0.15,25000,42500.0
4,2024-04-16,10859,Praha,Headphones,Online,5,0.1,2500,11250.0
5,2024-03-12,7995,Praha,Mouse,Partner,2,0.05,800,1520.0
6,2025-12-01,41917,Olomouc,Headphones,Online,3,0.0,2500,7500.0
7,2024-01-21,9684,Ostrava,Keyboard,Store,1,0.15,1500,1275.0
8,2025-09-06,34216,Plzeň,Laptop,Online,2,0.0,25000,50000.0
9,2024-05-01,31398,Plzeň,Keyboard,Online,4,0.15,1500,5100.0
10,2025-04-11,30212,Olomouc,Mouse,Store,1,0.0,800,800.0
11,2024-08-02,19172,Ostrava,Laptop,Online,2,0.1,25000,45000.0
12,2024-11-26,16657,Brno,Headphones,Partner,2,0.05,2500,4750.0
13,2025-04-03,6900,Olomouc,Keyboard,Store,3,0.05,1500,4275.0
14,2024-03-28,9262,Plzeň,Headphones,Store,1,0.1,2500,2250.0
15,2025-01-07,14204,Ostrava,Mouse,Partner,1,0.05,800,760.0
16,2024-04-09,15259,Praha,Headphones,Online,4,0.1,2500,9000.0
17,2025-10-25,14639,Praha,Laptop,Partner,4,0.15,25000,85000.0
18,2024-05-10,45642,Olomouc,Monitor,Online,1,0.05,7000,6650.0
19,2025-10-23,39355,Plzeň,Keyboard,Online,4,0.0,1500,6000.0
20,2024-11-04,30960,Brno,Monitor,Online,3,0.05,7000,19950.0
21,2024-12-09,8686,Olomouc,Laptop,Store,5,0.15,25000,106250.0
22,2025-05-06,28550,Plzeň,Keyboard,Store,1,0.15,1500,1275.0
23,2025-02-17,38845,Olomouc,Keyboard,Partner,4,0.0,1500,6000.0
24,2025-01-20,3238,Olomouc,Headphones,Partner,2,0.05,2500,4750.0
25,2024-07-10,13456,Ostrava,Monitor,Store,2,0.1,7000,12600.0
26,2024-10-03,1813,Olomouc,Headphones,Store,4,0.0,2500,10000.0
27,2024-06-09,31695,Brno,Keyboard,Store,1,0.0,1500,1500.0
28,2025-04-04,16951,Olomouc,Monitor,Partner,3,0.05,7000,19950.0
29,2024-11-09,14022,Brno,Laptop,Store,4,0.0,25000,100000.0
30,2024-01-22,22834,Praha,Monitor,Partner,3,0.0,7000,21000.0
31,2024-09-09,35129,Olomouc,Mouse,Online,3,0.1,800,2160.0
32,2025-07-14,42023,Plzeň,Mouse,Online,3,0.05,800,2280.0
33,2025-04-19,17225,Plzeň,Monitor,Partner,3,0.05,7000,19950.0
34,2024-02-28,10351,Ostrava,Keyboard,Partner,2,0.05,1500,2850.0
35,2025-05-25,18353,Plzeň,Keyboard,Store,5,0.1,1500,6750.0
36,2025-11-12,39324,Brno,Monitor,Partner,3,0.15,7000,17850.0
37,2025-04-20,21278,Praha,Laptop,Partner,1,0.1,25000,22500.0
38,2025-11-30,48595,Plzeň,Mouse,Online,5,0.05,800,3800.0
39,2024-07-08,29067,Brno,Monitor,Online,1,0.05,7000,6650.0
40,2025-11-17,10761,Ostrava,Laptop,Store,3,0.1,25000,67500.0
41,2025-07-16,31382,Ostrava,Headphones,Partner,5,0.15,2500,10625.0
42,2025-07-20,20128,Praha,Keyboard,Partner,1,0.05,1500,1425.0
43,2024-08-31,24834,Plzeň,Monitor,Partner,5,0.1,7000,31500.0
44,2025-05-19,39916,Brno,Headphones,Online,5,0.1,2500,11250.0
45,2024-05-10,1798,Praha,Mouse,Online,5,0.05,800,3800.0
46,2025-04-29,40882,Ostrava,Laptop,Online,4,0.0,25000,100000.0
47,2025-10-08,5225,Brno,Headphones,Store,3,0.1,2500,6750.0
48,2024-01-21,11947,Praha,Monitor,Store,3,0.15,7000,17850.0
49,2024-06-15,4687,Ostrava,Mouse,Online,4,0.1,800,2880.0
50,2024-09-30,8716,Olomouc,Headphones,Online,1,0.05,2500,2375.0
51,2025-01-22,20391,Olomouc,Mouse,Store,4,0.0,800,3200.0
52,2025-08-23,3540,Brno,Mouse,Store,5,0.1,800,3600.0
53,2024-11-11,42334,Olomouc,Monitor,Store,2,0.05,7000,13300.0
54,2024-01-14,47219,Brno,Mouse,Online,1,0.0,800,800.0
55,2024-08-29,30921,Brno,Mouse,Store,5,0.15,800,3400.0
56,2024-12-11,48669,Ostrava,Mouse,Store,4,0.05,800,3040.0
57,2025-07-18,16340,Olomouc,Keyboard,Online,4,0.1,1500,5400.0
58,2024-12-05,38785,Plzeň,Mouse,Partner,5,0.15,800,3400.0
59,2024-04-01,41471,Olomouc,Headphones,Partner,5,0.15,2500,10625.0
60,2025-01-01,18430,Plzeň,Monitor,Partner,4,0.1,7000,25200.0
61,2025-03-30,15964,Praha,Monitor,Store,2,0.0,7000,14000.0
62,2025-03-03,2134,Ostrava,Mouse,Partner,4,0.05,800,3040.0
63,2025-05-23,26327,Brno,Monitor,Partner,3,0.05,7000,19950.0
64,2024-02-04,49455,Plzeň,Laptop,Store,3,0.15,25000,63750.0
65,2024-07-24,28476,Olomouc,Keyboard,Store,2,0.0,1500,3000.0
66,2024-03-21,22844,Plzeň,Monitor,Store,5,0.1,7000,31500.0
67,2025-07-15,21994,Plzeň,Keyboard,Partner,1,0.15,1500,1275.0
68,2025-01-22,3566,Plzeň,Headphones,Online,3,0.1,2500,6750.0
69,2024-01-02,25423,Brno,Laptop,Store,2,0.1,25000,45000.0
70,2025-01-24,9571,Praha,Monitor,Partner,1,0.0,7000,7000.0
71,2025-07-19,41940,Praha,Headphones,Store,2,0.05,2500,4750.0
72,2024-04-15,41649,Brno,Laptop,Store,3,0.15,25000,63750.0
73,2025-04-21,16660,Plzeň,Monitor,Store,2,0.15,7000,11900.0
74,2025-12-03,39111,Ostrava,Headphones,Store,2,0.1,2500,4500.0
75,2025-02-05,25354,Praha,Headphones,Online,4,0.05,2500,9500.0
76,2025-12-30,10099,Olomouc,Monitor,Store,5,0.1,7000,31500.0
77,2025-07-09,4165,Ostrava,Keyboard,Online,5,0.0,1500,7500.0
78,2024-06-10,47620,Praha,Keyboard,Partner,2,0.05,1500,2850.0
79,2024-07-20,49069,Praha,Keyboard,Partner,5,0.05,1500,7125.0
80,2024-09-26,14624,Praha,Mouse,Online,5,0.05,800,3800.0
81,2024-09-27,21814,Plzeň,Keyboard,Partner,2,0.05,1500,2850.0
82,2025-03-31,36603,Praha,Keyboard,Online,5,0.1,1500,6750.0
83,2025-04-06,37715,Praha,Laptop,Partner,1,0.0,25000,25000.0
84,2025-12-27,25200,Brno,Mouse,Store,3,0.15,800,2040.0
85,2024-09-08,37123,Praha,Mouse,Partner,3,0.1,800,2160.0
86,2025-12-02,36430,Ostrava,Laptop,Partner,4,0.0,25000,100000.0
87,2024-10-22,49162,Olomouc,Mouse,Online,1,0.0,800,800.0
